SIRGAS - Northing,SIRGAS - Easting,SIRGAS - Altura
8593425.229,543980.597,7.2393
8593415.409,543973.142,6.868
8593405.713,543965.718,6.5677
8593396.168,543958.331,6.2458
8593386.792,543950.997,5.7258
8593377.196,543943.495,5.1664
8593367.54,543935.941,4.7403
8593357.948,543928.44,4.7899
8593348.387,543921.085,5.2419
8593338.606,543913.567,5.4071
8593328.972,543906.086,5.3445
8593327.882,543905.234,5.3173
8593318.161,543897.74,5.0737
8593308.422,543890.198,4.9062
8593297.904,543883.641,4.9057
8593286.805,543878.74,5.0159
8593275.533,543873.698,5.1178
8593264.48,543868.759,5.0117
8593253.314,543863.768,4.8136
8593242.282,543858.896,4.4668
8593231.245,543854.072,4.4177
8593227.627,543852.499,4.3845
8593216.111,543848.519,4.3985
8593204.125,543846.175,4.6723
8593192.071,543843.799,4.9116
8593180.109,543841.542,4.8956
8593168.221,543839.57,4.7637
8593156.173,543837.834,4.5154
8593143.761,543836.257,4.4295
8593131.834,543834.898,4.1467
8593120.276,543833.689,4.1658
8593108.146,543832.293,4.7538
8593096.16,543830.853,4.833
8593084.197,543829.37,4.9404
8593079.48,543828.768,4.928
8593066.983,543827.2,4.8978
8593054.919,543825.602,5.1012
8593042.915,543824.043,5.4675
8593030.83,543822.473,5.3564
8593029.66,543822.318,5.3506
8593017.836,543820.796,5.1767
8593005.698,543819.226,5.0205
8592993.283,543817.628,4.99
8592981.25,543816.123,5.0449
8592969.075,543814.663,5.1872
8592958.49,543813.289,5.3555
8592949.617,543812.052,5.5109
8592937.157,543810.229,5.3835
8592925.477,543807.704,5.2198
8592913.981,543804.062,5.307
8592910.196,543802.832,5.2186
8592904.425,543800.98,4.9455
8592899.751,543799.602,4.4208
8592888.077,543796.186,4.0864
8592884.576,543795.107,4.4771
8592882.389,543794.432,4.7258
8592876.64,543792.634,5.0942
8592867.965,543789.81,5.0582
8592856.461,543785.918,5.1611
8592845.097,543781.567,5.0712
8592834.784,543777.069,4.8937
8592827.966,543774.03,4.8021
8592816.579,543768.891,4.7339
8592805.978,543764.072,4.6708
8592799.423,543761.066,4.6681
8592788.465,543756.051,4.8819
8592781.637,543752.905,5.0859
8592770.568,543747.855,5.2345
8592759.256,543742.569,5.2696
8592748.407,543737.396,5.3155
8592737.451,543732.111,5.2235
8592726.529,543726.748,5.1023
8592715.572,543721.247,5.0858
8592704.449,543715.589,4.9479
8592693.598,543710.002,4.9199
8592682.816,543704.275,4.9128
8592672.122,543698.448,4.8605
8592661.596,543692.654,4.9162
8592650.626,543686.712,4.7209
8592639.681,543681.004,4.5421
8592628.689,543675.485,4.39
8592617.853,543670.189,4.4857
8592606.746,543664.785,4.6177
8592595.776,543659.308,4.5143
8592584.727,543653.692,4.2616
8592574.094,543648.26,4.1348
8592563.177,543642.638,4.0479
8592552.258,543637.065,3.9732
8592541.338,543631.567,4.0471
8592530.436,543626.152,4.1068
8592519.662,543620.895,3.7097
8592508.741,543615.414,3.2728
8592497.956,543609.882,3.1692
8592487.22,543604.213,3.3588
8592476.371,543598.483,3.4431
8592465.529,543592.764,3.562
8592454.402,543586.956,3.5805
8592443.708,543581.43,3.7118
8592432.863,543575.906,3.8904
8592421.79,543570.321,4.1662
8592410.695,543564.853,4.5494
8592399.541,543559.745,4.2406
8592388.597,543554.764,3.6635
8592377.473,543549.796,3.3327
8592366.293,543545.027,3.4562
8592361.194,543542.963,3.6552
8592349.793,543539.083,3.8285
8592337.954,543536.098,3.6358
8592326.145,543533.332,3.5155
8592314.27,543530.788,3.6966
8592302.2,543528.275,4.0408
8592290.157,543525.8,4.0252
8592278.108,543523.317,3.9031
8592265.821,543520.761,3.5514
8592253.968,543518.284,3.1842
8592241.889,543515.795,2.6917
8592229.689,543513.365,2.3108
8592218.449,543511.136,2.1268
8592206.198,543508.753,2.003
8592196.428,543506.924,1.8293
8592185.384,543504.856,1.7106
8592174.296,543502.747,1.6311
8592162.324,543500.51,1.3319
8592150.748,543498.323,0.0916
8592139.041,543496.003,0.0536
8592127.032,543493.599,0.0544
8592100.323,543487.87,1.286
8592086.99,543484.915,1.4899
8592073.573,543482.165,1.4376
8592060.153,543479.47,1.2962
8592046.767,543476.819,1.0547
8592033.384,543474.488,0.0146
8592019.929,543472.232,-0.085
8592006.452,543469.948,-1.5312
8591992.976,543467.6,-1.9378
8591979.501,543465.195,-2.0307
8591966.035,543462.856,-2.5651
8591952.548,543460.455,-2.7973
8591939.101,543457.839,-1.9712
8591925.749,543455.069,-0.042
8591912.44,543452.275,1.2812
8591899.093,543449.539,2.7082
8591885.695,543446.779,3.6316
8591872.326,543444,3.8513
8591867.044,543442.886,3.7275
8591866.058,543442.678,3.6984
8591864.243,543442.281,3.7923
8591859.679,543441.291,4.8916
8591858.004,543440.927,4.7255
8591857.321,543440.796,4.2869
8591855.999,543440.54,3.0514
8591855.03,543440.337,2.7622
8591843.763,543437.491,2.6236
8591832.444,543433.417,2.7617
8591821.488,543428.089,2.8832
8591811.29,543421.657,2.888
8591801.718,543414.348,3.0061
8591792.708,543406.245,3.0438
8591784.481,543397.16,3.1018
8591777.423,543387.225,3.1344
8591771.34,543376.445,3.1615
8591766.65,543365.211,3.078
8591763.314,543353.504,2.8166
8591760.991,543341.443,2.5997
8591760.05,543329.243,2.5065
8591760.241,543316.999,2.4207
8591761.407,543304.865,2.2736
8591763.243,543293.009,2.2165
8591765.254,543282.191,2.2874
8591765.592,543280.373,2.4329
8591765.97,543278.085,4.3877
8591766.158,543276.875,5.45
8591766.423,543275.403,5.6851
8591766.479,543275.102,5.6839
8591767.315,543270.67,5.689
8591767.637,543268.992,5.5798
8591767.885,543267.589,4.6808
8591768.276,543265.25,4.4256
8591769.245,543259.215,4.4766
8591770.047,543254.275,4.5137
8591771.975,543242.381,4.5171
8591773.982,543230.33,4.5111
8591776.027,543218.375,4.4985
8591778.14,543206.037,4.4836
8591780.173,543193.995,4.4708
8591782.24,543181.881,4.4657
8591784.254,543169.859,4.4748
8591786.308,543157.691,4.4691
8591787.983,543147.668,4.3524
8591790.06,543135.392,4.1274
8591790.393,543133.418,4.1034
8591792.443,543121.283,4.0995
8591794.514,543109.398,4.0766
8591796.618,543097.511,4.0024
8591798.726,543085.497,3.9131
8591800.769,543073.485,3.8397
8591802.784,543061.547,3.7423
8591804.849,543049.48,3.5974
8591806.924,543037.396,3.5378
8591808.967,543025.357,3.5488
8591810.981,543013.362,3.5137
8591813.018,543001.016,3.4904
8591815.084,542988.678,3.4864
8591816.738,542978.651,3.4857
8591818.787,542966.494,3.4837
8591820.799,542954.502,3.4481
8591822.813,542942.451,3.4438
8591824.848,542930.236,3.5673
8591826.877,542918.082,3.8017
8591828.926,542905.983,4.1055
8591830.955,542893.846,4.4351
8591832.952,542881.852,4.7337
8591834.971,542869.786,4.9985
8591836.28,542861.837,5.1407
8591836.511,542860.424,5.1657
8591836.61,542859.819,5.1776
8591836.205,542856.127,5.2846
8591836.099,542855.542,5.3016
8591836.629,542850.678,5.4095
8591838.195,542841.412,5.6652
8591840.224,542829.519,5.9846
8591842.267,542817.57,6.3246
8591843.351,542811.367,6.4663
8591843.638,542809.693,6.3777
8591843.695,542809.307,6.2083
8591842.782,542807.171,4.3712
8591832.095,542805.245,4.2101
8591818.561,542803.017,4.2235
8591815.507,542803.676,4.4195
8591815.289,542804.072,4.5005
8591814.392,542809.134,4.6188
8591813.292,542815.852,4.6355
8591811.58,542818.802,4.6115
8591804.614,542818.187,4.4741
8591802.835,542817.936,4.529
